Date,AAPL Open,AAPL High,AAPL Low,AAPL Close,AAPL Adj Close,AAPL Volume,FB Open,FB High,FB Low,FB Close,FB Adj Close,FB Volume,KO Open,KO High,KO Low,KO Close,KO Adj Close,KO Volume,SPOT Open,SPOT High,SPOT Low,SPOT Close,SPOT Adj Close,SPOT Volume
24/06/20,91.25,92.197502,89.629997,90.014999,89.412537,192623200,241.199997,243.220001,232.679993,234.020004,234.020004,20834900,45.369999,45.439999,44.5,44.650002,43.258171,17631800,242.679993,247.606995,235.110001,242.860001,242.860001,4949700
25/06/20,90.175003,91.25,89.392502,91.209999,90.599533,137522400,234.619995,237.300003,232.740005,235.679993,235.679993,18704300,44.470001,44.98,44.029999,44.93,43.529442,13829700,241.919998,268.299988,241.449997,267.470001,267.470001,8578300
26/06/20,91.102501,91.330002,88.254997,88.407501,87.815788,205256800,232.639999,233.089996,215.399994,216.080002,216.080002,76343900,44.919998,45.009998,43.509998,43.57,42.211838,21955100,266.600006,271.709991,254.850006,264.950012,264.950012,6497100
29/06/20,88.3125,90.542503,87.82,90.445,89.839653,130646000,209.75,220.75,207.110001,220.639999,220.639999,58514300,44,44.57,43.549999,44.360001,42.977211,17603900,257.369995,270.98999,255.559998,265.140015,265.140015,4766700
30/06/20,90.019997,91.495003,90,91.199997,90.5896,140223200,220.589996,227.5,218.470001,227.070007,227.070007,33927100,44.25,44.830002,44.040001,44.68,43.287235,23679800,263.339996,265.779999,253.639999,258.190002,258.190002,3515200
01/07/20,91.279999,91.839996,90.977501,91.027496,90.418251,110737200,228.5,239,227.559998,237.550003,237.550003,43399700,44.93,45.529999,44.709999,44.82,43.422871,14316500,256,261.089996,254.320007,258.899994,258.899994,3404200
02/07/20,91.962502,92.6175,90.910004,91.027496,90.418251,114041600,239,240,232.610001,233.419998,233.419998,30633600,45.290001,45.43,44.799999,44.880001,43.480999,15111900,264.5,274.299988,263.208008,271.48999,271.48999,4247000
06/07/20,92.5,93.945,92.467499,93.462502,92.83696,118655600,233.759995,240.399994,232.270004,240.279999,240.279999,26206200,45.139999,45.27,44.610001,45.23,43.820087,15146000,269.799988,272.670013,257.51001,260.26001,260.26001,5167600
07/07/20,93.852501,94.654999,93.057503,93.172501,92.548889,112424400,239.410004,247.649994,238.820007,240.860001,240.860001,27887800,45,45.5,44.799999,45.209999,43.800709,13043600,260.100006,267.75,255.501007,261.98999,261.98999,2283600
08/07/20,94.18,95.375,94.089996,95.342499,94.704369,117092000,238.110001,246.990005,236.589996,243.580002,243.580002,29791300,45.139999,45.18,44.470001,45.07,43.665077,13851200,266.570007,277.61499,262.700012,269.26001,269.26001,3787800
